"Id";"Name";"CategoryName";"Value"
112401;"Mexican Dave's Hot Chilli 225g";"Chipsek";499
112901;"Nabisco Oreo Sandwich Biscuits 66g";"Chipsek";349
113001;"Rocky Mountain marshmallow fruit 150g";"Cukorka, rágógumi";590
113101;"Rocky Mountain marshmallows fehér 150g";"Cukorka, rágógumi";590
113201;"Rocky Mountain mini marshmallows 150g";"Cukorka, rágógumi";590
113301;"Swiss Army Berry Mints 14g";"Cukorka, rágógumi";499
113401;"Swiss Army Dark Choc. Caff.&Guarana 50g";"Cukorka, rágógumi";499
113501;"Swiss Army fém díszdoboz 6tábla csokihoz";"Cukorka, rágógumi";590
113601;"Swiss Army Milk Choc. Caff.&Guarana 50g";"Cukorka, rágógumi";499
113701;"Swiss Army White Choc. Coconut 50g.";"Cukorka, rágógumi";499
113801;"Swiss Navy Grape Mints 14g";"Cukorka, rágógumi";499
113901;"Swiss Navy Strong Mints 14g";"Cukorka, rágógumi";499
114001;"Border citromos keksz 175g";"Édes kekszek";890
115801;"Deseo biscotti dolci cocoa-pist.160g";"Édes kekszek";1990
116501;"Rinatura Bio Haselnuss-waffeln 175g";"Édes kekszek";890
116601;"Rinatura Bio Honig-waffeln 175g";"Édes kekszek";890
116701;"Eat Nat Almonds apricots & yoghurt 50g M";"Mûzliszeletek";350
118501;"Farmer's aszalt ananász 100g";"Magvak, aszalt gyümölcsök";990
120001;"Gispert dió 85g";"Magvak, aszalt gyümölcsök";1299
121301;"Khao Shong coconut coated peanuts 185g";"Magvak, aszalt gyümölcsök";990
121601;"AB Grate Britain Cheddar biscuits 100g";"Sós kekszek";999
122501;"Grok Grana Padano Gusto deciso 12g";"Sós kekszek";250
122601;"Rinatura Bio Grissini mit olivenöl 125g";"Sós kekszek";550
122701;"Rinatura Bio Reiswaffeln 100g";"Rizsek";290
122801;"Sun Clad Shinode Sushi Rizs Olasz 1kg";"Rizsek";990
122901;"Unirice Basmati rizs 1kg";"Rizsek";1290
123001;"Unirice Pandan illatos rizs 1kg";"Rizsek";990
123101;"Japán soba tészta 300g";"Tészták";750
123201;"Japán udon tészta";"Tészták";690
123301;"Lungkow vermicelli üvegtészta 250g";"Tészták";399
123401;"Martelli maccheroni 500g";"Tészták";999
123801;"Rustichella Alberelli tris 500g";"Tészták";1690
132501;"Gispert DulceMembrillo birsalmasajt 350g";"Lekvárok";1450
132601;"Thursday C. Apricot jam 340g";"Lekvárok";1190
136001;"Skippy Smooth Peanut butter 340g";"Csokoládékrémek";1790
136201;"Sun-Pat Mogyoróvaj darabos 227g";"Csokoládékrémek";1190
136401;"Little's instant coffee + amaretto 50g";"Instant kávé";1190
137901;"Malongo Café Blue Mount. Jamaica 250g";"Õrölt kávé";13990
138801;"Little's Heritage Costa Rica coffee 250g";"Szemes kávé";2290
139201;"ETS Black Chai Org. tea 20filter 40g";"Filteres tea";799
141501;"Baru Chocolate chai latte powder 250g";"Forrócsokoládé";159090
144801;"CHCO Chocspoon X-treme dark 50g";"Forrócsokoládé";790
144901;"Fiji ásványvíz 0,5l";"Ásványvíz";590
145001;"Icelandic Glacial mineral water 1l";"Ásványvíz";499
145101;"Ganic Cranberry Áfonya ásványvíz 500ml";"Ízesített vizek";390
146001;"AiLaike citrom-menta iced tea 330ml";"Jegestea";590
146201;"Daymer Bay Apple iced green tea 0,5l";"Jegestea";450
146801;"Dr Pepper 330ml";"Szénsavas italok";199
147101;"Fentimans CherryTree Cola 275ml";"Szénsavas italok";499
148201;"Old Jamaica Ginger beer 330ml";"Szénsavas italok";290
148401;"Vita Coco 100% coconut water 1l";"Szénsavas italok";1690
